customer_id,customer_name,id_number,date_of_birth,gender,employment_status,monthly_income,marital_status,customer_segment,province,email,phone,credit_score,onboarding_date,source_system,record_created_at
CUST000001,Melanie Harrison,59122885570886,1959-12-28,M,Self-Employed,31611.35,Married,Retail,Limpopo,fharvey@example.org,(0161) 4960818,348,2016-04-08,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000002,Rhys Lawson,52033032000859,1952-03-30,F,Employed,24993.82,Married,Retail,Western Cape,leah81@example.net,+441164960099,380,2021-06-24,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000003,Raymond Butcher,74090405120817,1974-09-04,F,Employed,43686.45,Married,Retail,Gauteng,clairesmith@example.org,+44131 496 0870,384,2019-10-17,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000004,Miss June Morgan,71122109560859,1971-12-21,F,Self-Employed,67226.34,Married,Business,Eastern Cape,olivia10@example.org,(0141) 4960341,406,2023-02-24,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000005,Hayley Reed,70011091270835,1970-01-10,M,Employed,29750.69,Married,Retail,Western Cape,frederickbrown@example.org,(028)9018793,397,2018-02-14,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000006,Diane Waters,62070956140820,1962-07-09,M,Self-Employed,19004.2,Married,Youth,KwaZulu-Natal,millsjake@example.net,+44(0)141 496 0357,300,2016-08-15,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000007,Anna Akhtar,59031365830888,1959-03-13,M,Retired,17383.47,Married,Retail,Gauteng,rwalker@example.com,+44(0)1614960839,303,2016-01-06,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000008,Miss Hollie Gill,98120527430813,1998-12-05,F,Employed,99185.08,Single,Business,KwaZulu-Natal,taylorclaire@example.com,0306 999 0684,502,2018-08-16,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000009,Alison Fraser,57101903920818,1957-10-19,F,Self-Employed,368507.2,Single,Private Banking,Western Cape,nicole05@example.net,(0114)4960752,753,2016-06-06,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000010,Irene Barker,87110830730877,1987-11-08,F,Employed,207344.62,Married,Private Banking,Gauteng,shannon91@example.net,0292018655,612,2017-01-14,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000011,Katy Rhodes,52110754580888,1952-11-07,M,Employed,13709.52,Divorced,Youth,Free State,donaldstanley@example.org,+44(0)117 496 0839,349,2023-08-10,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000012,June Williams,52090322870820,1952-09-03,F,Employed,182256.61,Single,Business,Western Cape,jodiespencer@example.com,+441174960004,571,2019-04-27,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000013,Dr Gemma Smith,58052924000890,1958-05-29,F,Employed,23998.15,Single,Youth,KwaZulu-Natal,denisesutton@example.net,+44909 8790640,324,2018-12-15,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000014,Abbie Harrison-Wright,69081399680819,1969-08-13,M,Employed,34596.24,Divorced,Retail,KwaZulu-Natal,bethwilliams@example.org,+44(0)3069990530,334,2018-07-31,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000015,Diane Knight,70111576320816,1970-11-15,M,Employed,93639.82,Married,Business,Gauteng,miahchelsea@example.com,01514960332,438,2020-07-17,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000016,Melissa Clarke,95050487120862,1995-05-04,M,Unemployed,6560.46,Married,Retail,Eastern Cape,raymond28@example.net,+44(0)1214960502,300,2019-10-03,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000017,George Burke-Webb,52051964510890,1952-05-19,M,Self-Employed,8957.08,Married,Retail,Gauteng,lucygardner@example.com,0113 496 0527,333,2020-05-25,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000018,Guy Shah,00050842740835,2000-05-08,F,Retired,6541.19,Married,Retail,Eastern Cape,joshuakelly@example.org,(0191)4960824,315,2022-10-11,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000019,Sean Harper-Foster,67110397710866,1967-11-03,M,Self-Employed,32470.83,Married,Retail,KwaZulu-Natal,gregorycoleman@example.net,+44(0)1632 960 088,316,2019-08-23,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000020,Bradley Williams-Kennedy,98112183680890,1998-11-21,M,Employed,18776.2,Single,Retail,Gauteng,nicholas84@example.org,+44(0)161 496 0649,350,2021-09-30,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000021,Michael Jones,87082111760816,1987-08-21,F,Employed,43201.29,Married,Retail,Western Cape,samantha71@example.com,(0909)8790188,377,2023-11-25,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000022,Rebecca Jones,69101180170838,1969-10-11,M,Employed,24134.24,Widowed,Retail,Eastern Cape,dylan28@example.org,0115 4960663,354,2022-02-20,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000023,Victor Fletcher,90042072920844,1990-04-20,M,Employed,13587.3,Single,Youth,KwaZulu-Natal,stephaniejames@example.net,+44191 496 0501,356,2018-09-27,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000024,Andrea Wood,74121651370873,1974-12-16,M,Self-Employed,33088.94,Single,Retail,KwaZulu-Natal,bgreen@example.org,+44191 4960192,300,2016-07-20,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000025,Mr Stewart Forster,50080186090866,1950-08-01,M,Employed,160486.66,Married,Business,Gauteng,fharrison@example.net,+44(0)191 496 0747,513,2023-12-30,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000026,Mandy Ball,64042849050846,1964-04-28,F,Employed,25595.67,Single,Retail,Eastern Cape,johnsonantony@example.com,0131 496 0978,356,2022-05-02,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000027,Mrs Donna Payne,87120182000830,1987-12-01,M,Employed,9280.02,Married,Youth,Gauteng,annette80@example.com,(0113) 4960907,347,2017-10-04,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000028,Paul Gordon,80071154760867,1980-07-11,M,Employed,20466.17,Married,Youth,KwaZulu-Natal,bernardsmith@example.com,0117 4960514,384,2019-04-19,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000029,Douglas Payne,74120611440861,1974-12-06,F,Employed,84459.72,Single,Business,Gauteng,hallamanda@example.com,0131 496 0881,397,2019-09-11,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000030,Mr Gavin Lee,63121383720895,1963-12-13,M,Employed,59768.83,Married,Business,Gauteng,vturner@example.com,0118 496 0588,439,2021-02-28,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000031,Donna Price,69042610650886,1969-04-26,F,Contract,31370.69,Single,Retail,KwaZulu-Natal,susan63@example.net,(0117) 496 0495,319,2020-07-29,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000032,Mr Reece Hill,80031361230854,1980-03-13,M,Employed,9532.7,Single,Senior,Gauteng,qcarter@example.net,(0151)4960872,349,2021-01-15,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000033,Dr Lee Hill,59030451590881,1959-03-04,M,Self-Employed,24427.05,Married,Youth,Mpumalanga,terence01@example.net,01632 960559,300,2020-12-26,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000034,Dr Sara Briggs,58042807540872,1958-04-28,F,Employed,17647.95,Single,Youth,KwaZulu-Natal,lucy65@example.net,+44(0)131 496 0204,335,2020-07-10,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000035,Melanie Burke,84020138840859,1984-02-01,F,Employed,197602.24,Single,Business,Limpopo,ojones@example.org,+44(0)1214960314,587,2020-12-21,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000036,Dr Samuel Finch,58090503900830,1958-09-05,F,Contract,20539.06,Married,Retail,Western Cape,pauline88@example.com,+44(0)9098790806,379,2021-01-05,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000037,Jay Gill,82031796310899,1982-03-17,M,Self-Employed,24424.1,Single,Youth,Gauteng,erichumphreys@example.net,029 2018845,329,2017-07-31,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000038,Elizabeth Ellis,80110999290818,1980-11-09,M,Employed,13385.8,Divorced,Retail,KwaZulu-Natal,mohammad33@example.net,0909 879 0500,383,2019-04-25,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000039,Frederick Hunt-Nash,73092421580812,1973-09-24,F,Unemployed,325.56,Single,Business,Gauteng,carolinehunt@example.net,01632 960 924,300,2015-12-09,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000040,Miss Patricia Gray,53112482540877,1953-11-24,M,Employed,9220.41,Single,Retail,Western Cape,marcus98@example.com,+449098790736,325,2021-07-07,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000041,Shaun Khan,91032193700843,1991-03-21,M,Employed,14297.41,Single,Youth,KwaZulu-Natal,annathompson@example.com,+44(0)121 4960039,300,2023-01-07,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000042,Mr Dominic Davies,98020955500834,1998-02-09,M,Contract,11071.16,Single,Retail,KwaZulu-Natal,george84@example.com,+44141 496 0363,300,2019-09-24,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000043,Clive Baker,61031466250835,1961-03-14,M,Self-Employed,26950.21,Single,Retail,Gauteng,maureenhussain@example.net,0151 496 0637,365,2020-11-28,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000044,Susan Walker,83121737180839,1983-12-17,F,Employed,85675.09,Married,Business,Eastern Cape,kayleighhall@example.com,(0117)4960695,426,2021-06-24,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000045,Dr Lydia Poole,57012657300826,1957-01-26,M,Employed,220964.18,Married,Private Banking,Western Cape,geoffrey52@example.net,+44121 496 0562,646,2023-09-16,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000046,Albert Lewis,99071225730855,1999-07-12,F,Contract,138053.53,Divorced,Business,KwaZulu-Natal,wilsondean@example.org,+44(0)289018128,468,2022-10-11,CORE_BANKING,2026-04-18 13:21:48.668940
